,word,phonetic
74,aim,[eɪm]
75,air, [er]
76,aircraft,[ˈerkræft]
77,airline,[ˈerlaɪn]
78,airport,[ˈerpɔːrt]
79,alarm,[əˈlɑːrm]
80,album,[ˈælbəm]
81,alcohol,[ˈælkəhɔːl]
82,alcoholic, [ˌælkəˈhɑːlɪk]
83,alive,[əˈlaɪv]
84,all,[ɔːl]
85,all,[ɔːl]
86,allow,[əˈlaʊ]
87,almost,[ˈɔːlmoʊst]
88,alone,[əˈloʊn]
89,along,[əˈlɔːŋ]
90,already,[ɔːlˈredi]
91,also,[ˈɔːlsoʊ]
92,alter,[ˈɔːltər]
93,alternative, [ɔːlˈtɜːrnətɪv]
94,although, [ɔːlˈðoʊ]
95,always,[ˈɔːlweɪz]
96,amazed,[əˈmeɪzd]
97,amazing, [əˈmeɪzɪŋ]
98,ambition,[æmˈbɪʃn]
99,ambitious, [æmˈbɪʃəs]
100,among,[əˈmʌŋ]
101,amount,[əˈmaʊnt]
102,analyse,[ˈænəlaɪz]
103,analysis,[əˈnæləsɪs]
104,ancient,[ˈeɪnʃənt]
105,and,[ænd]
106,anger,[ˈæŋɡər]
107,angle,[ˈæŋɡl]
108,angry,[ˈæŋɡri]
109,animal,[ˈænɪml]
110,ankle,[ˈæŋkl]
111,anniversary,[ˌænɪˈvɜːrsəri]
112,announce,[əˈnaʊns]
113,announcement,[əˈnaʊnsmənt]
114,annoy,[əˈnɔɪ]
115,annoyed,[əˈnɔɪd]
116,annoying,[əˈnɔɪɪŋ]
117,annual,[ˈænjuəl]
118,another, [əˈnʌðər]
119,answer,[ˈænsər]
120,anxious,[ˈæŋkʃəs]
121,any,[ˈeni]
122,anybody,"[ˈenibɑːdi,ˈenibʌdi]"
123,any,[ˈeni]
124,anyone,[ˈeniwʌn]
125,anything,[ˈeniθɪŋ]
126,anyway,[ˈeniweɪ]
127,anywhere,[ˈeniwer]
128,apart,[əˈpɑːrt]
129,apartment,[əˈpɑːrtmənt]
130,apologize, [əˈpɑːlədʒaɪz]
131,app,[æp]
132,apparent,[əˈpærənt]
133,apparently,[əˈpærəntli]
134,appeal,[əˈpiːl]
135,appear,[əˈpɪr]
136,appearance, [əˈpɪrəns]
137,apple,[ˈæpl]
138,application,[ˌæplɪˈkeɪʃn]
139,apply,[əˈplaɪ]
140,appointment,[əˈpɔɪntmənt]
141,appreciate,[əˈpriːʃieɪt]
142,approach,[əˈproʊtʃ]
143,appropriate,[əˈproʊpriət]
144,approval, [əˈpruːvl]
145,approve,[əˈpruːv]
146,approximately,[əˈprɑːksɪmətli]
147,April,[ˈeɪprəl]
148,architect,[ˈɑːrkɪtekt]
149,architecture,[ˈɑːrkɪtektʃər]
150,area,[ˈeriə]
151,argue,[ˈɑːrɡjuː]
152,argument,[ˈɑːrɡjumənt]
153,arise,[əˈraɪz]
154,arm,[ɑːrm]
155,armed, [ɑːrmd]
156,arms,[ɑːrmz]
157,army,[ˈɑːrmi]
158,around,[əˈraʊnd]
159,arrange,[əˈreɪndʒ]
160,arrangement, [əˈreɪndʒmənt]
161,arrest,[əˈrest]
162,arrival,[əˈraɪvl]
163,arrive,[əˈraɪv]
164,art, [ɑːrt]
165,article, [ˈɑːrtɪkl]
166,artificial, [ˌɑːrtɪˈfɪʃl]
167,artist,[ˈɑːrtɪst]
168,artistic, [ɑːrˈtɪstɪk]
169,as,"[əz,æz]"
170,ashamed,[əˈʃeɪmd]
171,asleep, [əˈsliːp]
172,ask,[æsk]
173,aspect,[ˈæspekt]
174,assess,[əˈses]
175,assessment,[əˈsesmənt]
176,assignment,[əˈsaɪnmənt]
177,assist, [əˈsɪst]
178,assistant,[əˈsɪstənt]
179,associate, [əˈsoʊsieɪt]
180,associated, [əˈsoʊsieɪtɪd]
181,association,[əˌsoʊsiˈeɪʃn]
182,assume,[əˈsuːm]
183,at,[æt]
184,athlete,[ˈæθliːt]
185,atmosphere, [ˈætməsfɪr]
186,attach, [əˈtætʃ]
187,attack,[əˈtæk]
188,attempt,[əˈtempt]
189,attend,[əˈtend]
190,attention,[əˈtenʃn]
191,attitude, [ˈætɪtuːd]
192,attract,[əˈtrækt]
193,attraction, [əˈtrækʃn]
194,attractive, [əˈtræktɪv]
195,audience, [ˈɔːdiəns]
196,August, [ɔːˈɡʌst]
197,aunt, [ænt]
198,author, [ˈɔːθər]
199,authority, [əˈθɔːrəti]
200,autumn, [ˈɔːtəm]
201,available, [əˈveɪləbl]
202,average, [ˈævərɪdʒ]
203,avoid,[əˈvɔɪd]
204,award, [əˈwɔːrd]
205,aware,[əˈwer]
206,away,[əˈweɪ]
207,awful, [ˈɔːfl]
208,baby,[ˈbeɪbi]
209,back,[bæk]
210,background,[ˈbækɡraʊnd]
211,backwards,[ˈbækwərdz]
212,bacteria,[bækˈtɪriə]
213,bad,bæd
214,badly,[ˈbædli]
215,bag,[bæɡ]
216,bake,[beɪk]
217,balance,[ˈbæləns]
218,ball,[/bɔːl]
219,ban,[bæn]
220,banana,[bəˈnænə]
221,band,[bænd]
222,bank,[bæŋk]
223,bank,[bæŋk]
224,bar,[bɑːr]
225,barrier,[ˈbæriər]
226,base,[beɪs]
227,baseball,[ˈbeɪsbɔːl]
228,based,[beɪst]
229,basketball,[ˈbæskɪtbɔːl]
230,basic,[ˈbeɪsɪk]
231,basically,[ˈbeɪsɪkli]
232,basis,[ˈbeɪsɪs]
233,bath,[bæθ]
234,bathroom,"[ˈbæθruːm,ˈbæθrʊm]"
235,battery,[ˈbætəri]
236,battle,[ˈbætl]
237,be,"[bi,biː]"
238,beach,[biːtʃ]
239,bean,[biːn]
240,bear,[ber]
241,bear,[ber]
242,beat,[biːtʃ]
243,beautiful,[ˈbjuːtɪfl]
244,beauty,[ˈbjuːti]
245,because,"[bɪˈkəz,bɪˈkɔːz]"
246,become,[bɪˈkʌm]
247,bed,[bed]
248,bedroom,"[ˈbedruːm,ˈbedrʊm]"
249,bee,[biː]
250,beef,[biːf]
251,beer,[bɪr]
252,before,[bɪˈfɔːr]
253,beg,[beɡ]
254,begin,[bɪˈɡɪn]
255,beginning,[bɪˈɡɪnɪŋ]
256,behave,[bɪˈheɪv]
257,behaviour,[bɪˈheɪvjər]
258,behind,[bɪˈhaɪnd]
259,being,[ˈbiːɪŋ]
260,belief,[bɪˈliːf]
261,believe,[bɪˈliːv]
262,bell,[bel]
263,belong,[bɪˈlɔːŋ]
264,below,[bɪˈloʊ]
265,belt,[belt]
266,bend,[bend]
267,benefit,[ˈbenɪfɪt]
268,bent,[bent]
269,best,[best]
270,bet,[bet]
271,better,[ˈbetər]
272,between,[bɪˈtwiːn]
273,beyond,[bɪˈjɑːnd]
274,bicycle,[ˈbaɪsɪkl]
275,big,[bɪɡ]
276,bike,[baɪk]
277,bill,[bɪl]
278,billion,[ˈbɪljən]
279,bin,[biːn]
280,biology,[baɪˈɑːlədʒi]
281,bird,[bɜːrd]
282,birth,[bɜːrθ]
283,birthday,[ˈbɜːrθdeɪ]
284,biscuit,[ˈbɪskɪt]
285,bit,[bɪt]
286,bite,baɪt
287,bitter,[ˈbɪtər]
288,black,[blæk]
289,blame,[bleɪm]
290,blank,[blæŋk]
291,blind,[blaɪnd]
292,block,[blɑːk]
293,blog,[blɑːɡ]
294,blonde,[blɑːnd]
295,blood,[blʌd]
296,blow,[bloʊ]
297,blue,[bluː]
298,board,[bɔːrd]
299,boat,[boʊt]
300,body, [ˈbɑːdi]
301,boil,[bɔɪl]
302,bomb,[bɑːm]
303,bond,[bɑːnd]
304,bone,[boʊn]
305,book,[bʊk]
306,boot,[buːt]
307,border,[ˈbɔːrdər]
308,bored,[bɔːrd]
309,boring,[ˈbɔːrɪŋ]
310,born,[bɔːrn]
311,borrow,[ˈbɔːroʊ]
312,boss,[bɔːs]
313,both,[boʊθ]
314,bother,[ˈbɑːðər]
315,bottle,[ˈbɑːtl]
316,bottom,[ˈbɑːtəm]
317,bowl,[boʊl]
318,box,[bɑːks]
319,boy,[bɔɪ]
320,boyfriend,[ˈbɔɪfrend] 
321,brain,[breɪn]
322,branch,[bræntʃ]
323,brand,[brænd]
324,brave,[breɪv]
325,bread,[bred]
326,break,[breɪk]
327,breakfast,[ˈbrekfəst]
328,breast,[brest]
329,breath,[breθ]
330,breathe,[briːð]
331,breathing,[ˈbriːðɪŋ]
332,bride,[braɪd]
333,bridge,[brɪdʒ]
334,brief, [briːf]
335,bright,[braɪt]
336,brilliant,[ˈbrɪliənt]
337,bring, [brɪŋ]
338,broad,[brɔːd]
339,broadcast, [ˈbrɔːdkæst]
340,broken,[ˈbroʊkən]
341,brother, [ˈbrʌðər]
342,brown, [braʊn]
343,brush,[brʌʃ]
344,bubble,[ˈbʌbl]
345,budget,[ˈbʌdʒɪt]
346,build,[bɪld]
347,building,[ˈbɪldɪŋ]
348,bullet,[ˈbʊlɪt]
349,bunch,[bʌntʃ]
350,burn, [bɜːrn]
351,bury,[ˈberi]
352,bus,[bʌs]
353,bush,[bʊʃ]
354,business, [ˈbɪznəs]
355,businessman,[ˈbɪznəsmæn]
356,busy,[ˈbɪzi]
357,but,[bʌt]
358,butter,[ˈbʌtər]
359,button,[ˈbʌtn]
360,buy,[baɪ]
361,by,[baɪ]
362,bye,[baɪ]
363,cable,[ˈkeɪbl]
364,cafe,[kæˈfeɪ]
365,cake,[keɪk]
366,calculate, [ˈkælkjuleɪt]
367,call,[kɔːl]
368,calm,[kɑːm]
369,camera,[ˈkæmrə]
370,camp, [kæmp]
371,campaign,[kæmˈpeɪn]
372,camping,[ˈkæmpɪŋ]
373,campus,[ˈkæmpəs]
374,can,[kæn]
375,can,[kæn]
376,cancel,[ˈkænsl]
377,cancer,[ˈkænsər]
378,candidate, [ˈkændɪdeɪt]
379,cannot,[ˈkænɑːt]
380,cap, [kæp]
381,capable,[ˈkeɪpəbl]
382,capacity,[kəˈpæsəti]
383,capital,[ˈkæpɪtl]
384,captain,[ˈkæptɪn]
385,capture,[ˈkæptʃər]
386,car,[kɑːr]
387,card,[kɑːrd]
388,care,[ker]
389,career,[kəˈrɪr]
390,careful,[ˈkerfl]
391,carefully,[ˈkerfəli]
392,careless,[ˈkerləs]
393,carpet,[ˈkɑːrpɪt]
394,carrot,[ˈkærət]
395,carry, [ˈkæri]
396,cartoon,[kɑːrˈtuːn]
397,case,[keɪs]
398,cash,[kæʃ]
399,cast,[kæst]
400,castle,[ˈkæsl]
401,cat,[kæt]
402,catch,[kætʃ]
403,category,[ˈkætəɡɔːri]
404,cause,[kɔːz]
405,CD,[ˌsiː ˈdiː]
406,ceiling, [ˈsiːlɪŋ]
407,celebrate,[ˈselɪbreɪt]
408,celebration,[ˌselɪˈbreɪʃn]
409,celebrity,[səˈlebrəti]
410,cell, [sel]
411,cent,[sent]
412,central,[ˈsentrəl]
413,centre,[ˈsentər]
414,century, [ˈsentʃəri]
415,ceremony,[ˈserəmoʊni]
416,certain,[ˈsɜːrtn]
417,certainly, [ˈsɜːrtnli]
418,chain, [tʃeɪn]
419,chair, [tʃer]
420,chairman,[ˈtʃermən]
421,challenge,[ˈtʃælɪndʒ]
422,champion, [ˈtʃæmpiən]
423,chance,[tʃæns]
424,change, [tʃeɪndʒ]
425,channel,[ˈtʃænl]
426,chapter,[ˈtʃæptər]
427,character,[ˈkærəktər]
428,characteristic, [ˌkærəktəˈrɪstɪk]
429,charge,[tʃɑːrdʒ]
430,charity,[ˈtʃærəti]
431,chart,[tʃɑːrt]
432,chat,[tʃæt]
433,cheap, [tʃiːp]
434,cheat,[tʃiːt]
435,check, [tʃek]
436,chef, [ʃef]
437,cheerful,[ˈtʃɪrfl]
438,cheese,[tʃiːz]
439,chemical,[ˈkemɪkl]
440,chemistry,[ˈkemɪstri]
441,chest, [tʃest]
442,chicken,[ˈtʃɪkɪn]
443,chief, [tʃiːf]
444,child,[tʃaɪld]
445,childhood,[ˈtʃaɪldhʊd]
446,chip,[tʃɪp]
447,chocolate,[ˈtʃɔːklət]
448,choice,[tʃɔɪs]
449,choose,[tʃuːz]
450,church,[tʃɜːrtʃ]
451,cigarette, [ˈsɪɡəret]
452,cinema, [ˈsɪnəmə]
453,circle, [ˈsɜːrkl]
454,circumstance,[ˈsɜːrkəmstæns]
455,cite,[saɪt]
456,citizen, [ˈsɪtɪzn]
457,city,[ˈsɪti]
458,civil,[ˈsɪvl]
459,claim, [kleɪm]
460,class,[klæs]
461,classic, [ˈklæsɪk]
462,classical,[ˈklæsɪkl]
463,classroom,"[ˈklæsruːm,ˈklæsrʊm]"
464,clause,[klɔːz]
465,clean,[kliːn]
466,clear,[klɪr]
467,clearly,[ˈklɪrli]
468,clever,[ˈklevər]
469,click,[klɪk]
470,client,[ˈklaɪənt]
471,climate,[ˈklaɪmət]
472,climb,[klaɪm]
473,clock,[klɑːk]
474,close1, [kloz]
475,close2, [kloz]
476,closed,[kloʊzd]
477,closely,[ˈkloʊsli]
478,cloth,[klɔːθ]
479,clothes," [kloʊðz,kloʊz]"
480,clothing, [ˈkloʊðɪŋ]
481,cloud,[klaʊd]
482,club,[klʌb]
483,clue,[kluː]
484,coach,[koʊtʃ]
485,coal,[koʊl]
486,coast,[koʊst]
487,coat,[koʊt]
488,code,[koʊd]
489,coffee,[ˈkɔːfi]
490,coin,[kɔɪn]
491,cold,[koʊld]
492,collapse,[kəˈlæps]
493,colleague,[ˈkɑːliːɡ]
494,collect,[kəˈlekt]
495,collection,[kəˈlekʃn]
496,college,[ˈkɑːlɪdʒ]
497,colour,[ˈkʌlər]
498,coloured,[ˈkʌlərd]
499,column,[ˈkɑːləm]
500,combination,[ˌkɑːmbɪˈneɪʃn]
501,combine,[kəmˈbaɪn]
502,come, [kʌm]
503,comedy,[ˈkɑːmədi]
504,comfort, [ˈkʌmfərt]
505,comfortable,[ˈkʌmftəbl]
506,command, [kəˈmænd]
507,comment, [ˈkɑːment]
508,commercial, [kəˈmɜːrʃl]
509,commission,[kəˈmɪʃn]
510,commit,[kəˈmɪt]
511,commitment,[kəˈmɪtmənt]
512,committee,[kəˈmɪti]
513,common,[ˈkɑːmən]
514,commonly,[ˈkɑːmənli]
515,communicate,[kəˈmjuːnɪkeɪt]
516,communication,[kəˌmjuːnɪˈkeɪʃn]
517,community, [kəˈmjuːnəti]
518,company,[ˈkʌmpəni]
519,compare,[kəmˈper]
520,comparison,[kəmˈpærɪsn]
521,compete,[kəmˈpiːt]
522,competition,[ˌkɑːmpəˈtɪʃn]
523,competitor,[kəmˈpetɪtər]
524,competitive,[kəmˈpetətɪv]
525,complain,[kəmˈpleɪn]
526,complaint,[kəmˈpleɪnt]
527,complete,[kəmˈpliːt]
528,completely,[kəmˈpliːtli]
529,complex,[kəmˈpleks]
530,complicated,[ˈkɑːmplɪkeɪtɪd]
531,component, [kəmˈpoʊnənt]
532,computer, [kəmˈpjuːtər]
533,concentrate,[ˈkɑːnsntreɪt]
534,concentration,[ˌkɑːnsnˈtreɪʃn]
535,concept, [ˈkɑːnsept]
536,concern,[kənˈsɜːrn]
537,concerned,[kənˈsɜːrnd]
538,concert, [ˈkɑːnsərt]
539,conclude,[kənˈkluːd]
540,conclusion, [kənˈkluːʒn]
541,condition, [kənˈdɪʃn]
542,conduct,[kənˈdʌkt]
543,conference,[ˈkɑːnfərəns]
544,confidence, [ˈkɑːnfɪdəns]
545,confident, [ˈkɑːnfɪdənt]
546,confirm,[kənˈfɜːrm]
547,conflict,[ˈkɑːnflɪkt]
548,confuse,[kənˈfjuːz]
549,confused,[kənˈfjuːzd]
550,confusing,[kənˈfjuːzɪŋ]
551,connect, [kəˈnekt]
552,connected, [kəˈnektɪd]
553,connection,[kəˈnekʃn]
554,conscious, [ˈkɑːnʃəs]
555,consequence, [ˈkɑːnsɪkwens]
556,conservative,[kənˈsɜːrvətɪv]
557,consider,[kənˈsɪdər]
558,consideration,[kənˌsɪdəˈreɪʃn]
559,consist,[kənˈsɪst]
560,consistent,[kənˈsɪstənt]
561,constant,[ˈkɑːnstənt]
562,constantly, [ˈkɑːnstəntli]
563,construct,[kənˈstrʌkt]
564,construction,[kənˈstrʌkʃn]
565,consume,[kənˈsuːm]
566,consumer,[kənˈsuːmər]
567,contact,[ˈkɑːntækt]
568,contain,[kənˈteɪn]
569,container, [kənˈteɪnər]
570,contemporary,[kənˈtempəreri]
571,content, ['kɑntɛnt]
572,contest,[ˈkɑːntest]
573,context,[ˈkɑːntekst]
574,continent,[ˈkɑːntɪnənt]
575,continue, [kənˈtɪnjuː]
576,continuous,[kənˈtɪnjuəs]
577,contract,[ˈkɑːntrækt]
578,contrast, [ˈkɑːntræst]
579,contribute,[kənˈtrɪbjuːt]
580,contribution,[ˌkɑːntrɪˈbjuːʃn]
581,control, [kənˈtroʊl]
582,convenient,[kənˈviːniənt]
583,conversation,[ˌkɑːnvərˈseɪʃn]
584,convert, [kənˈvɜːrt]
585,convince,[kənˈvɪns]
586,convinced, [kənˈvɪnst]
587,cook,[kʊk]
588,cooker,[ˈkʊkər]
589,cooking,[ˈkʊkɪŋ]
590,cool,[kuːl]
591,copy,[ˈkɑːpi]
592,core,[kɔːr]
593,corner, [ˈkɔːrnər]
594,corporate,[ˈkɔːrpərət]
595,correct,[kəˈrekt]
596,correctly,[kəˈrektli]
597,cost,[kɔːst]
598,costume,[ˈkɑːstuːm]
599,cottage,[ˈkɑːtɪdʒ]
600,cotton,[ˈkɑːtn]
601,could,"[kəd,kʊd]"
602,council,[ˈkaʊnsl]
603,count,[kaʊnt]
604,country, [ˈkʌntri]
605,countryside,[ˈkʌntrisaɪd]
606,county, [ˈkaʊnti]
607,couple,[ˈkʌpl]
608,courage,[ˈkɜːrɪdʒ]
609,course,[kɔːrs]
610,court, [kɔːrt]
611,cousin,[ˈkʌzn]
612,cover,[ˈkʌvər]
613,covered, [ˈkʌvərd]
614,cow,[kaʊ]
615,crash,[kræʃ]
616,crazy,[ˈkreɪzi]
617,cream, [kriːm]
618,create, [kriˈeɪt]
619,creation, [kriˈeɪʃn]
620,creative, [kriˈeɪtɪv]
621,creature,[ˈkriːtʃər]
622,credit,[ˈkredɪt]
623,crew,[kruː]
624,crime,[kraɪm]
625,criminal,[ˈkrɪmɪnl]
626,crisis,  [ˈkraɪsɪs]
627,criterion,[kraɪˈtɪriən]
628,critic,[ˈkrɪtɪk]
629,critical,[ˈkrɪtɪkl]
630,criticism,[ˈkrɪtɪsɪzəm]
631,criticize,[ˈkrɪtɪsaɪz]
632,crop, [krɑːp]
633,cross,[krɔːs]
634,crowd,[kraʊd]
635,crowded,[ˈkraʊdɪd]
636,crucial,[ˈkruːʃl]
637,cruel,[ˈkruːəl]
638,cry, [kraɪ]
639,cultural, [ˈkʌltʃərəl]
640,culture,[ˈkʌltʃər]
641,cup, [kʌp]
642,cupboard,[ˈkʌbərd]
643,cure,[kjʊr]
644,curly,[ˈkɜːrli]
645,currency,[ˈkɜːrənsi]
646,current,[ˈkɜːrənt]
647,currently,[ˈkɜːrəntli]
648,curtain, [ˈkɜːrtn]
649,curve,[kɜːrv]
650,curved,[kɜːrvd]
651,custom,[ˈkʌstəm]
652,customer, [ˈkʌstəmər]
653,cut,[kʌt]
654,cycle,[ˈsaɪkl]
655,dad,[dæd]
656,daily, [ˈdeɪli]
657,damage, [ˈdæmɪdʒ]
658,dance,[dæns]
659,dancer,[ˈdænsər]
660,dancing, [ˈdænsɪŋ]
661,danger, [ˈdeɪndʒər]
662,dangerous, [ˈdeɪndʒərəs]
663,dark,[dɑːrk]
664,data,"[ˈdeɪtə,ˈdætə]"
665,date,[deɪt]
666,daughter,[ˈdɔːtər]
667,day,[deɪ]
668,dead,[ded]
669,deal,[diːl]
670,dear,[dɪr]
671,death, [deθ]
672,debate,[dɪˈbeɪt]
673,debt,[det]
674,decade,"[ˈdekeɪd,dɪˈkeɪd]"
675,December,[dɪˈsembər]
676,decent,[ˈdiːsnt]
677,decide,[dɪˈsaɪd]
678,decision,[dɪˈsɪʒn]
679,declare, [dɪˈkler]
680,decline,[dɪˈklaɪn]
681,decorate, [ˈdekəreɪt]
682,decoration, [ˌdekəˈreɪʃn]
683,decrease,[dɪ'kris]
684,deep,[diːp]
685,deeply, [ˈdiːpli]
686,defeat, [dɪˈfiːt]
687,defence,  [dɪˈfens]
688,defend, [dɪˈfend]
689,define, [dɪˈfaɪn]
690,definite, [ˈdefɪnət]
691,definitely, [ˈdefɪnətli]
692,definition,[ˌdefɪˈnɪʃn]
693,degree,[dɪˈɡriː]
694,delay, [dɪˈleɪ]
695,deliberate,[dɪˈlɪbərət]
696,deliberately, [dɪˈlɪbərətli]
697,delicious,  [dɪˈlɪʃəs]
698,delight,[dɪˈlaɪt]
699,delighted,[dɪˈlaɪtɪd]
700,deliver, [dɪˈlɪvər]
701,delivery,[dɪˈlɪvəri]
702,demand, [dɪˈmænd]
703,demonstrate, [ˈdemənstreɪt]
704,dentist,[ˈdentɪst]
705,deny,[dɪˈnaɪ]
706,department, [dɪˈpɑːrtmənt]
707,departure, [dɪˈpɑːrtʃər]
708,depend, [dɪˈpend]
709,depressed,[dɪˈprest]
710,depressing, [dɪˈpresɪŋ]
711,depth, [depθ]
712,describe,[dɪˈskraɪb]
713,description, [dɪˈskrɪpʃn]
714,desert,"[ˈdezərt , dɪˈzɜːrt]"
715,deserve, [dɪˈzɜːrv]
716,design, [dɪˈzaɪn]
717,designer,[dɪˈzaɪnər]
718,desire,[dɪˈzaɪər]
719,desk,[desk]
720,desperate,[ˈdespərət]
721,despite,[dɪˈspaɪt]
722,destination, [ˌdestɪˈneɪʃn]
723,destroy,[dɪˈstrɔɪ]
724,detail,"[ˈdiːteɪl,dɪˈteɪl]"
725,detailed,"[ˈdiːteɪld,dɪˈteɪld]"
726,detect,[dɪˈtekt]
727,detective,[dɪˈtektɪv]
728,determine, [dɪˈtɜːrmɪn]
729,determined,[dɪˈtɜːrmɪnd]
730,develop,[dɪˈveləp]
731,development,[dɪˈveləpmənt]
732,device, [dɪˈvaɪs]
733,diagram, [ˈdaɪəɡræm]
734,dialogue,[ˈdaɪəlɔːɡ]
735,diamond, [ˈdaɪmənd]
736,diary,[ˈdaɪəri]
737,dictionary,[ˈdɪkʃəneri]
738,die,[daɪ]
739,diet,[ˈdaɪət]
740,difference,[ˈdɪfrəns]
741,different,[ˈdɪfrənt]
742,differently,[ˈdɪfrəntli]
743,difficult, [ˈdɪfɪkəlt]
744,difficulty,[ˈdɪfɪkəlti]
745,dig,[dɪɡ]
746,digital, [ˈdɪdʒɪtl]
747,dinner,[ˈdɪnər]
748,direct,"[dəˈrekt,daɪˈrekt]"
749,direction," [dəˈrekʃn,daɪˈrekʃn]"
750,directly," [dəˈrektli,daɪˈrektli]"
751,director," [dəˈrektər,daɪˈrektər]"
752,dirt,[dɜːrt]
753,dirty,[ˈdɜːrti]
754,disadvantage,  [ˌdɪsədˈvæntɪdʒ]
755,disagree, [ˌdɪsəˈɡriː]
756,disappear,[ˌdɪsəˈpɪr]
757,disappointed, [ˌdɪsəˈpɔɪntɪd]
758,disappointing,[ˌdɪsəˈpɔɪntɪŋ]
759,disaster,[dɪˈzæstər]
760,disc,[dɪsk]
761,discipline,[ˈdɪsəplɪn]
762,discount,[dɪs'kaʊnt]
763,discover,[dɪˈskʌvər]
764,discovery,[dɪˈskʌvəri]
765,discuss,[dɪˈskʌs]
766,discussion,[dɪˈskʌʃn]
767,disease,[dɪˈziːz]
768,dish,[dɪʃ]
769,dishonest, [dɪsˈɑːnɪst]
770,dislike,[dɪsˈlaɪk]
771,dismiss, [dɪsˈmɪs]
772,display,[dɪˈspleɪ]
773,distance, [ˈdɪstəns
774,distribute,"[dɪˈstrɪbjuːt,ˈdɪstrɪbjuːt]"
775,distribution, [ˌdɪstrɪˈbjuːʃn]
776,district, [ˈdɪstrɪkt]
777,divide, [dɪˈvaɪd]
778,division, [dɪˈvɪʒn]
779,divorced, [dɪˈvɔːrst]
780,do, [du]
781,doctor,[ˈdɑːktər]
782,document,[ˈdɑːkjumənt]
783,documentary,[ˌdɑːkjuˈmentri]
784,dog,[dɔːɡ]
785,dollar,[ˈdɑːlər]
786,domestic, [dəˈmestɪk]
787,dominate,[ˈdɑːmɪneɪt]
788,donate, [ˈdoʊneɪt]
789,door,[dɔːr]
790,double, [ˈdʌbl]
791,doubt,[daʊt]
792,down,[daʊn]
793,download,"[,daʊn'lod]"
794,downstairs,[ˌdaʊnˈsterz]
795,downwards,[ˈdaʊnwərdz]
796,dozen,[ˈdʌzn]
797,draft,[dræft]
798,drag,[dræɡ]
799,drama,[ˈdrɑːmə]
800,dramatic, [drəˈmætɪk]
801,draw,[drɔː]
802,drawing,[ˈdrɔːɪŋ]
803,dream,[driːm]
804,dress,[dres]
805,dressed,[drest]
806,drink,[drɪŋk]
807,drive,[draɪv]
808,driver,[ˈdraɪvər]
809,driving, [ˈdraɪvɪŋ]
810,drop,[drɑːp]
811,drug,[drʌɡ]
812,drum,[drʌm]
813,drunk,[drʌŋk]
814,dry, [draɪ]
815,due,[duː]
816,during,[ˈdʊrɪŋ]
817,dust,[dʌst]
818,duty,[ˈduːti]
819,DVD,[ˌdiː viː ˈdiː]
820,each,[iːtʃ
